,Caretaker,Generator,Tank,Line ID,Stock number,DoB,Age assessment
0,AO,AO,083,SMU,F252,26.07.2019,Too old
1,AO,AO,094,38 /100,F492,19.02.2020,Too old
2,AO,AO,121,38 /101,F428,07.01.2020,Too old
3,AO,AO,37,dicer 24,F480,12.02.2020,Too old
4,AO,AO,391,SMU,F349,26.10.2019,Too old
5,AO,AA,432,38 /100,F417,05.12.2019,Too old
6,AO,AA,438,38 /100,F416,05.12.2019,Too old
7,AO,AO,537,dicer 24,F597,29.05.2020,Old
8,AO,AO,538,dicer 24,F595,29.05.2020,Old
9,AO,AO,539,dicer 24,F594,29.05.2020,Old
10,AO,AO,540,dicer 24,F592,29.05.2020,Old
11,AO,AO,562,dicer 24,F593,29.05.2020,Old
12,AO,AO,92,gsSpt,F502,27.02.2020,Too old
13,AO,AO,944,gsSpt,F541,19.03.2020,Old
14,AO,AO,946,dicer,F500,23.02.2020,Too old
15,AO,AO,948,dicer,F508,23.02.2020,Too old
16,AO,AO,949,dicer,F510,23.02.2020,Too old
17,AO,AO,953,dicer,F507,23.02.2020,Too old
18,AO,AO,961,dicer 24,F501,25.02.2020,Too old
19,AO,AO,H133,38 /101,F493,18.02.2020,Too old
20,AO,AO,,dicer 24,F591,29.05.2020,Old
21,AO,AO,,dicer 24,F596,29.05.2020,Old
22,DH,AG,515,dazl,F126,01.03.2019,Too old
23,DH,AG,516,dazl,F127,01.03.2019,Too old
24,DH,ZL,521,59,F679,05.08.2020,Old
25,DH,ZL,532,59,F693,14.08.2020,Old
26,DH,DH,60,dazl 24 /36,F688,05.08.2020,Old
27,DH,AG,609,dazl 81,F152,20.03.2019,Too old
28,DH,DH,61,dazl 24 /36,F689,05.08.2020,Old
29,DH,DH,932,24 /40,F278,29.08.2019,Too old
30,DH,JP,933,55,F264,14.08.2019,Too old
31,DH,JP,934,55,F265,14.08.2019,Too old
32,EM,EM,067,clo,F440,16.01.2020,Too old
33,EM,EM,070,ody,F461,30.01.2020,Too old
34,EM,EM,073,kny,F533,13.03.2020,Old
