MA		17.08.2001	YES		MA			1	
HL		22.06.2005	YES		HL	Tol-1111-F-EGFP			
KT		17.10.2018	YES	23.03.2020	IS			169	
DH		28.12.2016	YES	06.03.2019	JP	outcross dazlZFN dazl mut1 +/- incross	dazl	dazl	
MK	002	28.11.2000	YES		MK	AB 		cer	
MK	003	28.11.2000	YES		MK	AB			
MK	004	20.12.2000	YES		MK	AB			
SR	005		YES		SR	cab		10	
MK	005	20.12.2000	YES		MK	AB			
MK	006	20.12.2000	YES		MK	AB			
IH	007	20.12.2000	YES		MK	tr 261-3 um 2 incross		2 /18	
SS	008	03.01.2001	YES		SS	swr ta29a x AB			
SS	009	03.01.2001	YES		SS	noi ta29a x AB			
SS	011	03.01.2001	YES		SS	kny m818 x AB			
SS	012	03.01.2001	YES		SS	han s6/gol x AB			
SS	013	03.01.2001	YES		SS	clo m34 x AB			
ZL	014	03.01.2001	YES		SS	dino m84 x AB	din	din	
SS	015	03.01.2001	YES		SS	oep m134 x AB			
SS	016	03.01.2001	YES		SS	cas ta56/gol x AB			
SS	017	03.01.2001	YES		SS	mil t273 x AB			
SS	018	03.01.2001	YES		SS	mil t273 x AB			
SS	019	10.01.2001	YES		SS	cas ta56/gol x AB			
ZL	020	10.01.2001	YES		SS	dino ta84 x AB	din	din	
SS	021	10.01.2001	YES		SS	han s6/gol x AB			
MK	022	17.01.2001	YES		MK	AB			
MK	023	17.01.2001	YES		MK	AB			
SS	024	19.01.2001	YES		SS	spt b104 x AB			
SS	025	19.01.2001	YES		SS	swr ta72 x AB			
SS	026	19.01.2001	YES		SS	han s6/gol x AB			
SS	027	19.01.2001	YES		SS	cas ta56/gol x AB			
SS	028	19.01.2001	YES		SS	flh ak91 x AB			
SS	029	19.01.2001	YES		SS	flh ak91 x AB			
SS	030	19.01.2001	YES		SS	swr ta72 x AB			
SR	031	21.12.2000	YES		SR	kaga			
SS	033 	30.01.2001	YES		SS	kny m818 X AB			
SS	034	30.01.2001	YES		SS	din m84 X AB			
SS	035	30.01.2001	YES		SS	cas ta56 X AB			
SS	036	30.01.2001	YES		SS	oep m134 X AB			
MK	037	13.02.2001	YES		MK	AB			
MK	038	13.02.2001	YES		MK	AB			
MK	039	13.02.2001	YES		MK	AB			
MK	040	15.02.2001	YES		MK	AB			
MK	041	15.02.2001	YES		MK	AB			
MK	042	15.02.2001	YES		MK	AB			
JD	043	15.02.2001	YES		JD	GFP weak measle F1			
JD	044	16.02.2001	YES		JD	GFP green measle F1			
MK	045	17.02.2001	YES		MK	AB			
MK	046	17.02.2001	YES		MK	AB			
SS	047	22.02.2001	YES		SS	flh ak41 x AB			
SS	048	22.02.2001	YES		SS	spt b104			
JD	049	13.03.2001	YES		JD	GFP green measle F1			
JD	050	13.03.2001	YES		JD	GFP weak measle F1			
ER	051	12.03.2001	YES		ER	Tl			
EM	052	22.03.2001	YES		JD	GFP Odysseus F1	ody	ody	
JD	053	22.03.2001	YES		JD	GFP Herakles F1			
SR	054	28.03.2001	YES		SR	Medaka T5			
ER	055	26.03.2001	YES		ER	gsc-gfp			
SS	056	15.03.2001	YES		SS	gsc-gfp-nanos			
SS	057	20.03.2001	YES		SS	gsc-gfp-nanos			
SS	058	21.03.2001	YES		SS	gsc-gfp-nanos			
MK	059	27.03.2001	YES		MK	AB			
MK	060	27.03.2001	YES		MK	AB			
MK	061	27.03.2001	YES		MK	AB			
SS	062	28.04.2001	YES		SS	ntl b160 x AB			
SS	063	28.04.2001	YES		SS	ntl  b160x AB			
SS	064	28.04.2001	YES		SS	ntl b160x AB			
SS	065	28.04.2001	YES		SS	clo m34  x AB			
SS	066	28.04.2001	YES		SS	clo m34 x AB			
SS	067	28.04.2001	YES		SS	ntl b160 X AB			
SS	068	03.04.2001	YES		SS	clo m34 x AB			
SS	069	03.04.2001	YES		SS	spt b104 x AB			
SS	070	03.04.2001	YES		SS	clo m34 x AB			
EM	071	05.04.2001	YES		JD	GFP Odysseus F1	ody	ody	
SS	072	11.04.2001	YES		SS	spt b104 x AB			
SS	073	11.04.2001	YES		SS	spt b104 x AB			
SS	074	25.04.2001	YES		SS	gsc-gfp-nanos			
SS	075	26.04.2001	YES		SS	gsc-gfp-nanos			
SR	076	25.04.2001	YES		SR	kaga			
SR	077	02.04.2001	YES		SR	cab			
MK	078	08.05.2001	YES		MK	TL			
MK	079	08.05.2001	YES		MK	TL			
MK	080	09.05.2001	YES		MK	alb			
MK	081	09.05.2001	YES		MK	HK			
MK	083	10.05.2001	YES		MK	WIK			
GIL	084	11.05.2001	YES		GIL	GFP green measles F2			
SS	085	17.05.2001	YES		SS	gsc-gfp-nanos			
SS	086	18.05.2001	YES		SS	gsc-gfp-nanos			
SS	087	23.05.2001	YES		SS	1111-gfp-nanos			
SS	088	23.05.2001	YES		SS	1111-gfp-nanos			
SS	089	21.06.2001	YES		SS	gsc-gfp-nos3’UTR α/+			
SS	090	28.06.2001	YES		SS	gsc-gfp-nos3’UTR α/+			
JD	091	10.07.2001	YES		JD	GFP green measles F2			
JD	092	12.07.2001	YES		JD	GFP Starfish			
SS	093	16.07.2001	YES		SS	gsc-vasa5’UTR-gfp-nos3’UTR			
SS	094	16.07.2001	YES		SS	gsc-gfp-nos3’UTR α/+			
SS	095	18.07.2001	YES		SS	gsc-vasa5’UTR-gfp-nos3’UTR			
JD	096	26.07.2001	YES		JD	noi ta29a x AB			
JD	097	26.07.2001	YES		JD	noi ta29a x AB			
JD	098	26.07.2001	YES		JD	noi ta29a x AB			
JD	099	26.07.2001	YES		JD	noi ta29a x AB			
AO	100	26.07.2001	YES		JD	spt b104 x AB		100	
JD	101	26.07.2001	YES		JD	spt b104 x AB			
MD	1013	20.02.2004	YES		MD	AB			
JD	102	26.07.2001	YES		JD	spt b104 x AB			
JD	103	26.07.2001	YES		JD	spt b104 x AB			
JD	104	26.07.2001	YES		JD	spt  b104 x AB			
JD	105	26.07.2001	YES		JD	spt b104 x AB			
JD	106	26.07.2001	YES		JD	cas ta56 x AB			
JD	107	26.07.2001	YES		JD	cas ta56 x AB			
JD	108	26.07.2001	YES		JD	cas ta56 x AB			
JD	109	26.06.2001	YES		JD	cas ta56 x AB			
JD	110	26.07.2001	YES		JD	cas ta56 x AB			
JD	111	26.07.2001	YES		JD	cas ta56 x AB			
JD	112	26.07.2001	YES		JD	cas ta56 x AB			
SS	113	25.07.2001	YES		SS	gsc-gfp-nanos3’UTR α/+			
SS	114	09.08.2001	YES		SS	gsc-gfp-nanos3’UTR			
SS	115	09.08.2001	YES		SS	gsc-vasa-gfp-nos3’UTR			
MK	116	10.08.2001	YES		MK	AB (NY)			
MK	117	10.08.2001	YES		MK	AB (NY)/AB 			
SS	118	15.08.2001	YES		SS	gsc-gfp-nos3’UTR β/+			
SS	119	15.08.2001	YES		SS	gsc-gfp-nos3’UTR γ/+			
SS	120	15.08.2001	YES		SS	gsc-gfp-nos3’UTR δ/+			
MA	121	17.08.2001	YES		MA	AB			
MA	122	17.08.2001	YES		MA	AB			
MA	123	17.08.2001	YES		MA	AB			
MA	124	17.08.2001	YES		MA	AB			
MA	125	17.08.2001	YES		MA	AB			
MA	126	17.08.2001	YES		MA	AB			
MA	127	17.08.2001	YES		MA	AB			
MA	128	17.08.2001	YES		MA	AB			
MA	129	17.08.2001	YES		MA	AB			
MA	130	17.08.2001	YES		MA	AB			
MA	131	17.08.2001	YES		MA	AB			
MA	132	17.08.2001	YES		MA	AB			
MA	133	17.08.2001	YES		MA	AB			
MA	134	17.08.2001	YES		MA	AB			
MA	136	17.08.2001	YES		MA	AB			
MK	137	19.08.2001	YES		MK	AB			
MK	138	19.08.2001	YES		MK	AB			
MK	139	19.08.2001	YES		MK	AB			
MK	140	19.08.2001	YES		MK	AB			
MA	141	21.08.2001	YES		MA	GFP Herakles F2			
MA	142	21.08.2001	YES		MA	GFP Green measles F2			
MA	143	21.08.2001	YES		MA	GFP Green measles F2			
SS	144	27.08.2001	YES		SS	gsc-vasa-gfp-nos3’UTR			
SS	145	27.08.2001	YES		SS	gsc-vasa-gfp-nos3’UTR			
SS	146	27.08.2001	YES		SS	gsc-vasa-gfp-nos3’UTR			
SS	147	27.08.2001	YES		SS	gsc-vasa-gfp-nos3’UTR			
MA	148	28.08.2001	YES		MA	GFP Green measles F2			
SS	149	29.08.2001	YES		SS	gsc-GFP-nos3’UTR α/+			
JD	150	12.09.2001	YES		JD	oep m134 x AB			
JD	151	12.09.2001	YES		JD	oep m134 x AB			
JD	152	12.09.2001	YES		JD	oep m134 x AB			
JD	153	12.09.2001	YES		JD	oep m134 x AB			
JD	154	12.09.2001	YES		JD	oep m134 x AB			
JD	155	12.09.2001	YES		JD	oep m134 x AB			
JD	156	12.09.2001	YES		JD	oep m134 x AB			
MK	157	05.09.2001	YES		MK	AB			
MK	158	05.09.2001	YES		MK	AB			
MK	159	05.09.2001	YES		MK	AB			
MK	160	05.09.2001	YES		MK	AB			
MK	161	06.09.2001	YES		MK	AB			
MK	162	06.09.2001	YES		MK	AB			
	163		YES						
JD	164	13.09.2001	YES		JD	flh ak41 x AB			
JD	165	13.09.2001	YES		JD	flh ak41 x AB			
JD	166	13.09.2001	YES		JD	flh ak41 x AB			
JD	167	14.09.2001	YES		JD	han 56 x AB			
JD	168	14.09.2001	YES		JD	han 56 x AB			
JD	169	14.09.2001	YES		JD	han 56 x AB			
JD	170	14.09.2001	YES		JD	han 56 x AB			
JD	171	14.09.2001	YES		JD	han 56 x AB			
	172	13.09.2001	YES			contr Morph 0.4			
GIL	172	13.09.2001	YES		GIL	control Morph 0.4µg			
GIL	173	13.09.2001	YES		GIL	dead end Morph2 0.4µg			
JD	175	19.09.2001	YES		JD	ntl b160 x AB			
JD	176	19.09.2001	YES		JD	ntl b160 x AB			
JD	177	19.09.2001	YES		JD	ntl b160 x AB			
JD	178	19.09.2001	YES		JD	ntl b160 x AB			
SR	179	15.09.2001	YES		SR	Medaka cab			
JD	180	20.09.2001	YES		JD	din m84 x AB			
SS	181	19.09.2001	YES		SS	gsc-gfp-nos3’UTR α/+			
SS	182	19.09.2001	YES	19.09.2003	SS	gsc-gfp-nos3’UTR α/+			
SS	183	19.09.2001	YES		SS	gsc-GFP			
SS	184	19.09.2001	YES		SS	gsc-GFP			
SS	185	19.09.2001	YES		SS	gsc-GFP			
EM	186	18.09.2001	YES		MA	GFP-Odysseus F1	ody	ody	
MA	187	18.09.2001	YES		MA	Grean Measles B F2			
JD	188	25.09.2001	YES		JD	mil t273 x AB			
JD	189	26.09.2001	YES		JD	mil t273 x AB			
JD	190	26.09.2001	YES		JD	mil t273 x AB			
JD	191	26.09.2001	YES		JD	mil t273 x AB			
JD	192	26.09.2001	YES		JD	mil t273 x AB			
JD	193	26.09.2001	YES		JD	kny m818 x AB			
JD	194	26.09.2001	YES		JD	kny m818 x AB			
